Season,MatchID,Sum of MatchWeek,HomeTeam,AwayTeam,Sum of FullTimeHomeTeamGoals,Sum of FullTimeAwayTeamGoals,FullTimeResult,Sum of HomeTeamPoints,Sum of AwayTeamPoints
1993-1994,1993-1994_Arsenal_Aston Villa,11,Arsenal,Aston Villa,1,2,A,0,3
1993-1994,1993-1994_Arsenal_Blackburn,26,Arsenal,Blackburn,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Coventry,1,Arsenal,Coventry,0,3,A,0,3
1993-1994,1993-1994_Arsenal_Everton,3,Arsenal,Everton,2,0,H,3,0
1993-1994,1993-1994_Arsenal_Ipswich,4,Arsenal,Ipswich,4,0,H,3,0
1993-1994,1993-1994_Arsenal_Leeds,2,Arsenal,Leeds,2,1,H,3,0
1993-1994,1993-1994_Arsenal_Liverpool,31,Arsenal,Liverpool,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Man City,8,Arsenal,Man City,0,0,D,1,1
1993-1994,1993-1994_Arsenal_Man United,30,Arsenal,Man United,2,2,D,1,1
1993-1994,1993-1994_Arsenal_Newcastle,13,Arsenal,Newcastle,2,1,H,3,0
1993-1994,1993-1994_Arsenal_Norwich,10,Arsenal,Norwich,0,0,D,1,1
1993-1994,1993-1994_Arsenal_Oldham,21,Arsenal,Oldham,1,1,D,1,1
1993-1994,1993-1994_Arsenal_QPR,19,Arsenal,QPR,0,0,D,1,1
1993-1994,1993-1994_Arsenal_Sheffield United,17,Arsenal,Sheffield United,3,0,H,3,0
1993-1994,1993-1994_Arsenal_Sheffield Weds,15,Arsenal,Sheffield Weds,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Southampton,6,Arsenal,Southampton,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Swindon,33,Arsenal,Swindon,1,1,D,1,1
1993-1994,1993-1994_Arsenal_Tottenham,14,Arsenal,Tottenham,1,1,D,1,1
1993-1994,1993-1994_Aston Villa_Blackburn,18,Aston Villa,Blackburn,0,1,A,0,3
1993-1994,1993-1994_Aston Villa_Chelsea,9,Aston Villa,Chelsea,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_Coventry,4,Aston Villa,Coventry,0,0,D,1,1
1993-1994,1993-1994_Aston Villa_Everton,32,Aston Villa,Everton,0,0,D,1,1
1993-1994,1993-1994_Aston Villa_Ipswich,28,Aston Villa,Ipswich,0,1,A,0,3
1993-1994,1993-1994_Aston Villa_Leeds,22,Aston Villa,Leeds,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_Man City,25,Aston Villa,Man City,0,0,D,1,1
1993-1994,1993-1994_Aston Villa_Man United,2,Aston Villa,Man United,1,2,A,0,3
1993-1994,1993-1994_Aston Villa_Newcastle,7,Aston Villa,Newcastle,0,2,A,0,3
1993-1994,1993-1994_Aston Villa_Oldham,30,Aston Villa,Oldham,1,2,A,0,3
1993-1994,1993-1994_Aston Villa_QPR,1,Aston Villa,QPR,4,1,H,3,0
1993-1994,1993-1994_Aston Villa_Sheffield United,12,Aston Villa,Sheffield United,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_Sheffield Weds,14,Aston Villa,Sheffield Weds,2,2,D,1,1
1993-1994,1993-1994_Aston Villa_Southampton,12,Aston Villa,Southampton,0,2,A,0,3
1993-1994,1993-1994_Aston Villa_Swindon,23,Aston Villa,Swindon,5,0,H,3,0
1993-1994,1993-1994_Aston Villa_Tottenham,3,Aston Villa,Tottenham,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_West Ham,20,Aston Villa,West Ham,3,1,H,3,0
1993-1994,1993-1994_Aston Villa_Wimbledon,15,Aston Villa,Wimbledon,0,1,A,0,3
1993-1994,1993-1994_Blackburn_Arsenal,3,Blackburn,Arsenal,1,1,D,1,1
1993-1994,1993-1994_Blackburn_Chelsea,14,Blackburn,Chelsea,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Coventry,12,Blackburn,Coventry,2,1,H,3,0
1993-1994,1993-1994_Blackburn_Everton,17,Blackburn,Everton,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Leeds,21,Blackburn,Leeds,2,1,H,3,0
1993-1994,1993-1994_Blackburn_Liverpool,27,Blackburn,Liverpool,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Man City,16,Blackburn,Man City,2,0,H,3,0
