Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Aaron Ramsdale,GK,Arsenal,6,25,6,6,540,0,0,0,0,0,0
Ben White,DF,Arsenal,35,25,37,33.2,2988,4,4,8,0,0.24,0.24
Bukayo Saka,FW,Arsenal,35,21,35,32.4,2919,16,9,25,6,0.77,0.59
Cédric Soares,DF,Arsenal,0,31,3,0.7,62,0,0,0,0,0,0
David Raya,GK,Arsenal,32,27,32,32,2880,0,0,0,0,0,0
Declan Rice,MF,Arsenal,37,24,38,35.8,3225,7,8,15,0,0.42,0.42
Eddie Nketiah,FW,Arsenal,10,24,27,12,1082,5,2,7,0,0.58,0.58
Emile Smith Rowe,MF,Arsenal,3,23,13,3.9,353,0,1,1,0,0.25,0.25
Ethan Nwaneri,FW,Arsenal,0,16,1,0.2,14,0,0,0,0,0,0
Fabio Vieira,"MF,FW",Arsenal,2,23,11,3.3,297,1,2,3,1,0.91,0.61
Gabriel Jesus,FW,Arsenal,17,26,27,16.4,1478,4,5,9,0,0.55,0.55
Gabriel Magalhães,DF,Arsenal,34,25,36,33.8,3044,4,0,4,0,0.12,0.12
Gabriel Martinelli,FW,Arsenal,24,22,35,22.4,2019,6,4,10,0,0.45,0.45
Jakub Kiwior,DF,Arsenal,11,23,20,10.5,946,1,3,4,0,0.38,0.38
Jorginho,MF,Arsenal,10,31,24,10.2,921,0,2,2,0,0.2,0.2
Jurriën Timber,DF,Arsenal,1,22,2,0.8,71,0,0,0,0,0,0
Kai Havertz,"MF,FW",Arsenal,30,24,37,29.3,2634,13,7,20,1,0.68,0.65
Leandro Trossard,"FW,MF",Arsenal,18,28,34,18.3,1649,12,1,13,0,0.71,0.71
Martin Ødegaard,MF,Arsenal,35,24,35,34.3,3091,8,10,18,2,0.52,0.47
Mohamed Elneny,MF,Arsenal,0,31,3,0.3,28,0,0,0,0,0,0
Oleksandr Zinchenko,DF,Arsenal,20,26,27,19.1,1722,1,2,3,0,0.16,0.16
Reiss Nelson,FW,Arsenal,1,23,15,3,268,0,0,0,0,0,0
Takehiro Tomiyasu,DF,Arsenal,10,24,22,12.8,1149,2,1,3,0,0.23,0.23
Thomas Partey,"MF,DF",Arsenal,9,30,14,8.8,788,0,0,0,0,0,0
William Saliba,DF,Arsenal,38,22,38,38,3420,2,1,3,0,0.08,0.08
Álex Moreno,DF,Aston Villa,11,30,21,11.5,1031,2,0,2,0,0.17,0.17
Bertrand Traoré,"DF,FW",Aston Villa,0,27,2,0.1,11,0,0,0,0,0,0
Boubacar Kamara,MF,Aston Villa,20,23,20,18.4,1652,0,1,1,0,0.05,0.05
Calum Chambers,"MF,DF",Aston Villa,1,28,5,1.7,152,0,1,1,0,0.59,0.59
Cameron Archer,MF,Aston Villa,0,22,1,0.1,6,0,0,0,0,0,0
Clément Lenglet,DF,Aston Villa,14,28,14,12.8,1153,0,1,1,0,0.08,0.08
Diego Carlos,DF,Aston Villa,20,30,27,20.2,1816,0,0,0,0,0,0
Douglas Luiz,MF,Aston Villa,35,25,35,33.3,2993,9,5,14,4,0.42,0.3
Emiliano Martínez,GK,Aston Villa,34,30,34,33.5,3015,0,0,0,0,0,0
Ezri Konsa,DF,Aston Villa,35,25,35,34.1,3069,1,0,1,0,0.03,0.03
Finley Munroe,MF,Aston Villa,0,18,1,0,4,0,0,0,0,0,0
Jacob Ramsey,"FW,MF",Aston Villa,8,22,16,9.5,853,1,1,2,0,0.21,0.21
Jaden Philogene Bidace,FW,Aston Villa,0,21,1,0,4,0,0,0,0,0,0
Jhon Durán,"FW,MF",Aston Villa,3,19,23,5.3,475,5,0,5,0,0.95,0.95
John McGinn,"MF,FW",Aston Villa,35,28,35,33.3,2999,6,4,10,0,0.3,0.3
